mu1,mu2,sigma1,sigma2,b1_0,b1_1,b2_0,b2_1
0.0008839032811120312,-3.7617970243162135e-05,0.01536290730829736,0.04456545378142779,3.0273526442259615,-1.188225894676951,2.583090717208918,1.4171020288076837
0.0010649545331803403,-0.0049399804314573725,0.015010995817873924,0.04488275943648307,3.306937614704785,-1.4093760784073484,2.391792224889647,0.8353859641737827
0.0012841116334659896,0.0007028973773744455,0.014891616993978176,0.04556916343041465,2.701320134318115,-0.8537550094728648,2.549691839989235,1.2010039431501462
0.0009761648025929092,-0.00028856666865081167,0.014531713905145575,0.04670434732697631,2.824339774541477,-0.5142723269093331,2.6302323375663814,1.1315430569915104
0.0011690643404134345,0.0001618057270838265,0.014640188370668137,0.04189357869657085,3.0657126525245575,-0.9014952567687163,2.623666759849124,1.1687262764170239
0.0012101482792893582,-0.0029444874237872774,0.014579322638593116,0.04504842103916763,3.380764009391303,-1.281863242507988,2.178969677823201,0.9045014487810059
0.0008853053890614641,-0.002699609946030404,0.014689002559904171,0.044472186199595906,3.3309035345528164,-1.2030030027191398,2.593364555898139,1.0532580368116113
-0.00021740574898043726,-0.0024611534243539302,0.015082311970527276,0.04298975775177191,2.9788337241373264,-0.8498098925982471,2.684106364912853,1.1564988754508476
0.0010797644469573578,0.000651399748942913,0.014565362270106616,0.04259403406787347,2.9655939229679973,-0.4581677193860988,2.685038400003044,1.0296257544332796
0.0010267455193697114,0.00010659417483344982,0.015050348394392534,0.04435348072910954,3.267537511744039,-0.9610768453098322,2.6173697227453334,0.982913303874921
0.00103617697654922,0.0005605621274418259,0.015675169300852807,0.04495064713557178,2.9324061700742545,-1.1988555365767215,2.759650393123087,1.1731337264995707
0.0014155224591611902,-0.0024876071408601905,0.014985596545554106,0.04585092301922389,3.13692035095696,-0.7075160114701159,2.304531340033404,0.6239727321929576
0.0005795865294052891,-0.0019134540058749411,0.014985280146192614,0.04247495886757399,2.9986102721702514,-1.3223055853365115,2.457220187642809,1.4508153018485346
