mu1,mu2,sigma1,sigma2,b1_0,b1_1,b2_0,b2_1
0.0013494856802687728,-0.0029907137003832925,0.01435135189134451,0.04316231172529143,3.060107079871363,-1.3836204418123423,2.240763647941414,1.7089086978348633
0.0002628156477738837,-0.0015224629712429212,0.014224723315118426,0.04428298403160913,2.701020782709823,-1.4275893004332005,3.4706553040299943,-0.5425951355780667
0.0011148132756313063,-0.0013472029449496717,0.015386830394927487,0.045240626785738355,2.2803630477535224,-2.5887024733819013,1.3526192282646696,0.5824388719863559
0.001686833553602761,-0.0005218088249625231,0.014379812302523725,0.047018766751701496,2.2559301508344802,-0.8528326453877175,1.463459468166541,1.561140919316714
0.0012312796582982569,-0.004817493506212716,0.015046221680184218,0.0463586326323205,3.0965918144687303,-1.3266351142827124,3.0849364673024873,0.4965639009908183
0.001027137233479731,-0.002359077627917596,0.014682506815102827,0.044094529184380726,2.9263744301916255,-0.43091389825013104,2.2909743379391037,1.2469856825873649
0.0005654817699554043,-0.0019389497668012086,0.01490321996763192,0.045608058426494257,3.539401545448805,-0.05856996530451803,2.774533131908953,1.2891740326669738
0.0006117492455349496,-0.0025067674688979014,0.014863789602263321,0.04513243287648682,3.038993282935692,-1.0606611201721678,2.906173691828719,0.34048689667619997
0.001533734387592152,-0.003136997760543116,0.014380845920968915,0.04508551579703626,3.055198129245426,-0.8140808952101944,2.1077572344451347,1.337829172336347
0.0011007400442416063,0.00037627532482455064,0.015233532616916713,0.043539494899616206,2.4739519459704478,-1.0911864002822798,1.75821994684845,1.3698101779267946
0.00015027215283795306,-0.0008843222254178054,0.01595066643800986,0.045622592047326015,3.1560804259329904,-1.5510770477210896,4.100622098300536,-0.5743985352874452
0.001129133953510694,-0.0017410310498272431,0.014202143684848094,0.04428400220659985,2.9919920924572323,-0.2378977997745054,2.073439912328732,1.4408480339586582
0.002160702807697477,0.000322444404761216,0.014276669450995377,0.04379409266174099,3.8103770713520433,0.3499661814583613,2.596529293376319,1.97725242101758
0.0006397050303015507,-0.0016784517984054974,0.015586077587702854,0.046836954243013144,2.9175601096610597,-1.2596981512698038,2.4524653596459762,0.858913168663177
0.001674560640044601,-9.426860388280138e-05,0.01507448438761019,0.04476866385089145,3.0531806789989075,-1.081184679660817,3.2336193088712375,0.08928832185394243
0.0008880555035242286,-0.00027866626073329114,0.014693960442546295,0.04621594994428939,2.9442712308541763,-1.6131621785745658,2.4106341545010466,0.7062827272030036
0.0006856101334033536,0.002191072971714231,0.014954939312837747,0.04614655615160168,3.400138312047324,-1.1653591096329239,2.7014983235498145,1.1710583360859632
0.0009041832633528488,0.00018621474257949353,0.014817899521420146,0.04490724878513145,2.7121424938015175,-1.652834993418635,2.8774536604996723,0.38551061108720175
0.000774029546919841,-0.001336320961131046,0.015296258054341504,0.04439621148789767,2.5909186487566154,-1.0841739264994732,2.329343499486447,0.9784080780787336
0.0005327673642852492,-0.002454217730259276,0.01564889916826291,0.047477841260348846,2.3987305949175877,-1.5140113061184326,2.165425789745493,0.740217446892284
